GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agricultureh (% of employed),Employment in industryh (% of employed),Employment in servicese (% employed),Unemploymenth (% of labour force),Labour force participation rateh (female/male pop. %),CPI: Consumer Price Index (2010=100),Agricultural production index (2014-2016=100),International trade: exports (million current US$),International trade: imports (million current US$),International trade: balance (million current US$),"Balance of payments, current account (million US$)",Country
"['11 242', '18 050', '27 098b']","['6', '7', '6.8b']","['785.5', '1 162.9', '1 643.6b']","['36', '28.2', '22b']","['23.3', '29.4', '36.4b']","['40.7', '42.3', '41.6b']",,,,,,,"['79', '99', '121b']","['5 590', '8 542', '17 543e,d']","['4 903', '10 669', '18 696e,d']","['688', '- 2 126', '- 1 153e,d']","['-981', '- 1 598', '- 3 076d']",Cambodia
"['26 144', '30 905', '38 861b']","['3.4', '5.7', '3.9b']","['1 285.3', '1 326.5', '1 501.8b']",,,,,,,,,,"['82', '101', '107b']","['3 878', '4 053', '4 437i,d']","['5 133', '6 037', '7 452i,d']","['- 1 255', '- 1 984', '- 3 014i,d']","['-857', '- 1 174', '- 1 695b']",Cameroon
"['1 617 267', '1 556 129', '1 741 497b']","['3.1', '0.7', '1.9b']","['47 361.1', '43 193.8', '46 550.3b']",,,,,,,,,,"['86', '99', '111b']",,,,"['- 58 163', '- 54 696', '- 29 722d']",Canada
"['4 277', '4 785', '6 020b']","['-2.7', '2.8', '3.2b']","['75 460.8', '77 517.7', '92 692.4b']",,,,,,,,,,,,"['828n', '915', '1 337n,d']",,"['...', '...', '-582b']",Cayman Islands
"['2 141', '1 695', '2 220b']","['4.6', '4.3', '3b']","['487.9', '377.1', '467.9b']","['39.8', '32.5', '33.4b']","['26.1', '22.8', '21.9b']","['34.1', '44.6', '44.8b']",,,"['15.1', '16.2', '17.5d']",,,,"['94', '99', '106b']","['90', '97', '73e,d']","['210', '457', '75e,d']","['-120', '-360', '-2e,d']",,Central African Republic
"['10 971', '11 690', '11 272b']","['15', '4.6', '3b']","['917.9', '828.5', '706.8b']","['35.9', '29.5', '28.5b']","['36.7', '31.7', '18.7b']","['27.4', '38.8', '52.8b']",,,"['19.1', '20.7', '21.6d']",,,"['100e,f', '117e,f', '123g,d']","['86', '97', '118b']",,,,,Chad
,,,,,,"['4.7', '4', '3.5g']","['26.7', '24.9', '22.9g']",,"['8.4', '8.1', '7.5g']","['50.8 /       67.8', '51.0 /       67.1', '50.6 /       65.6g']",,,,,,,Channel Islands
"['218 538', '243 919', '282 318b']","['5.8', '2.3', '1.1b']","['12 808.1', '13 574.2', '14 896.5b']",,,,,,,,,"['100', '118', '136d']","['93', '101', '103b']","['71 106', '62 033', '59 804i,d']","['59 007', '62 387', '59 367i,d']","['12 099', '-354', '438i,d']","['3 069', '- 5 735', '3 370d']",Chile
,,,,,,,,,,,"['100', '115', '112j,e']",,,,,,China
"['228 639', '309 386', '365 711b']","['6.8', '2.4', '-1.2b']","['32 820.5', '43 054.0', '49 180.1b']",,,,,,,,,"['100', '123', '135d']","['101', '96', '138b']","['400 692', '510 553', '551 516d']","['441 369', '559 306', '573 061d']","['- 40 677', '- 48 753', '- 21 546d']","['16 012', '10 264', '22 666d']","China, Hong Kong SAR"
"['28 124', '45 362', '53 859c']","['25.3', '-21.6', '-4.7c']","['52 253.0', '75 341.4', '84 096.7c']",,"['7.4', '10.5', '7.3c']","['92.6', '89.5', '92.7c']",,,,,,"['100', '131f', '145f,d']","['106', '86', '82c']","['870', '1 339', '1 025d']","['5 629', '10 603', '11 950d']","['- 4 760', '- 9 264', '- 10 926d']","['10 992', '10 513', '18 556c']","China, Macao SAR"
"['286 563', '293 482', '323 803b']","['4.5', '3', '3.3b']","['6 336.7', '6 175.9', '6 432.4b']",,,,,,,,,,"['81', '101', '133b']","['39 820', '35 691', '31 057i,d']","['40 683', '54 036', '43 483i,d']","['-863', '- 18 345', '- 12 426i,d']","['- 8 822', '- 19 302', '- 9 326d']",Colombia
"['907', '966', '1 166b']","['4.8', '2', '3.2b']","['1 315.2', '1 242.1', '1 370.1b']","['31.6', '31.7', '34.5b']","['12.2', '10.8', '9.2b']","['56.1', '57.5', '56.2b']",,,"['32.6', '34.8', '37d']",,,"['100', '104f', '...']","['100', '99', '100b']","['14', '15', '46e,d']","['181', '173', '178e,d']","['-167', '-158', '-133e,d']","['-39', '-2', '-37b']",Comoros
"['13 678', '11 751', '12 397b']","['9.9', '-3.2', '-0.9b']","['3 200.5', '2 419.8', '2 304.1b']","['4.2', '6.3', '7.5b']","['68', '50', '45.1b']","['27.8', '43.7', '47.5b']",,,"['39.2', '42', '44.5d']",,,,"['89', '101', '107b']","['6 918', '8 623', '3 046e,d']","['4 369', '10 550', '321e,d']","['2 548', '- 1 927', '2 725e,d']","['900', '- 4 629', '- 3 594g']",Congo
"['241', '302', '379c']","['-4.9', '5.7', '4.8c']","['13 092.7', '17 182.6', '21 603.5c']",,,,,,,,,,"['108', '103', '79c']","['5', '14q', '19q,f']","['91', '109q', '105q,f']","['-85', '-95q', '-85q,f']",,Cook Islands
"['37 269', '54 776', '61 774b']","['5', '3.6', '2.1b']","['8 141.9', '11 299.1', '12 238.4b']",,,,,,,,,,"['88', '98', '107b']","['9 045', '9 578', '12 011i,d']","['13 920', '15 504', '13 965i,d']","['- 4 875', '- 5 926', '- 1 954i,d']","['- 1 214', '- 1 921', '- 1 289b']",Costa Rica
"['59 808', '49 531', '60 415b']","['-1.5', '2.4', '2.9b']","['13 818.3', '11 701.4', '14 627.3b']",,,,,,,,,"['100', '107', '110d']","['92', '97', '80b']","['11 811', '12 844', '16 965d']","['20 067', '20 580', '25 987d']","['- 8 256', '- 7 737', '- 9 021d']","['- 1 485', '1 595', '-532d']",Croatia
"['64 328', '87 206', '105 355b']","['2.4', '4.4', '2b']","['5 730.4', '7 700.4', '9 295.9b']","['3.7', '3.9', '3.9b']","['23.1', '22.6', '24.3b']","['73.2', '73.5', '71.8b']",,,,,,,"['86', '100', '88b']",,,,,Cuba
"['2 951', '3 152', '3 102b']","['0.1', '0.3', '-3.4b']","['19 782.2', '19 718.3', '18 980.0b']",,"['16.2', '20.2', '19.6b']","['83.3', '79.3', '80b']",,,,,,,,,,,"['...', '-519', '-539b']",Curaçao
,,,,,,,,,,,,"['107', '103', '106c']","['1 506', '3 367', '2 741e']","['8 645', '7 133', '7 504e']","['- 7 138', '- 3 766', '- 4 763e']","['- 2 799', '-84', '- 2 850e']",Cyprus
"['209 070', '188 033', '250 681b']","['2.4', '5.4', '2.3b']","['19 842.4', '17 736.6', '23 451.7b']",,,,,,,"['7.3', '5', '1.9c']","['49.2 /       68.0', '51.4 /       68.2', '52.8 /       68.2c']","['100', '108', '120c']","['88', '97', '93b']","['132 141', '157 194', '192 305c']","['125 691', '140 716', '170 678c']","['6 450', '16 478', '21 627c']","['- 7 351', '845', '8 845c']",Czechia
"['26 264', '45 780', '58 540b']","['7.7', '14.9', '6.2b']","['1 279.1', '1 971.1', '2 276.3b']","['25.2', '19.8', '22.1b']","['22.6', '21.1', '22.7b']","['52.2', '59.1', '55.2b']",,,,,,,"['75', '104', '114b']","['10 284', '12 560', '12 181g,f']","['7 849', '10 406', '10 482g,f']","['2 434', '2 154', '1 699g,f']","['465', '-201', '- 1 349b']",Côte d’Ivoire
"['13 945', '16 283', '16 331b']","['-0.5', '-1.1', '0.4b']","['571', '649.9', '639.6b']","['20.8', '21.6', '21.2b']","['48.2', '46.2', '44.7b']","['31', '32.2', '34.1b']",,,"['31.1', '33.5', '35.7d']",,,,"['99', '99', '102b']",,,,,Democratic People's Republic of Korea
"['21 566', '37 918', '47 320b']","['7.1', '6.9', '4.4b']","['334', '497.3', '545.2b']","['22.4', '19.7', '20.8b']","['40.5', '44.8', '42.4b']",,,,"['21.4', '23.5', '25.1c']",,,"['100', '130', '134f']","['57', '100', '110b']","['5 300e', '5 800e', '14 122c']","['4 500e', '6 200e', '6 663c']","['800e', '-400e', '7 459c']","['- 2 174', '- 1 484', '- 1 095c']",Democratic Republic of the Congo
"['321 995', '302 673', '350 104d']","['1.9', '2.3', '2.8d']","['57 966.6', '53 206.1', '60 656.9d']",,,,,,,,,,"['97', '101', '101d']","['96 217', '94 619', '107 224f']","['82 724', '85 327', '96 791f']","['13 492', '9 291', '10 433f']","['21 051', '24 953', '26 023f']",Denmark
"['1 244', '2 445', '3 166b']","['11.7', '7.7', '7.7b']","['1 480.2', '2 675.6', '3 252.3b']","['2.8', '1.3', '1.4b']","['16.1', '12.1', '11.8b']","['81.1', '86.6', '86.9b']",,,"['47.8', '51.2', '54.3d']",,,"['100', '112', '122d']","['117', '83', '126b']",,,,"['50', '714', '448b']",Djibouti
"['494', '541', '582b']","['0.7', '-2.7', '3.6b']","['6 967.3', '7 596.4', '8 110.5b']","['13.7', '16.5', '16b']","['14', '14.7', '18.8b']","['72.2', '68.8', '65.2b']",,,,,,"['100', '102', '105b']","['99', '99', '99b']","['34', '30f', '14f,e']","['225', '214f', '197f,e']","['-190', '-184f', '-183f,e']","['-80', '-41', '-225d']",Dominica
"['53 160', '71 155', '88 941b']","['8.3', '6.9', '5.1b']","['5 483.1', '6 920.6', '8 282.1b']",,,,,,,,,,"['79', '100', '118b']",,,,"['- 4 024', '- 1 280', '- 1 541d']",Dominican Republic
"['69 555', '99 290', '107 436b']","['3.5', '0.1', '0.1b']","['4 633.6', '6 124.5', '6 183.8b']",,,,,,,"['4.1', '3.6', '4.2c']","['49.9 /       80.5', '52.1 /       81.0', '55.3 /       81.0c']","['100', '121', '124c']","['102', '104', '98b']","['17 490', '18 331', '20 224h,c']","['20 591', '21 387', '16 140h,c']","['- 3 101', '- 3 057', '4 084h,c']","['- 1 582', '- 2 221', '2 474c']",Ecuador
"['214 630', '317 745', '317 359b']","['5.1', '4.4', '5.6b']","['2 593.4', '3 437.2', '3 161.3b']",,,,,,,,,,"['90', '101', '102b']",,,,"['- 4 504', '- 17 243', '- 14 236d']",Egypt
"['18 448', '23 438', '27 023c']","['1.4', '2.4', '2.4c']","['2 983.2', '3 705.6', '4 187.2c']",,,,,,,,,,"['102', '97', '100c']","['4 499', '5 509', '5 030j']","['8 416', '10 293', '10 594j']","['- 3 917', '- 4 784', '- 5 564j']","['-533', '-754', '121j']",El Salvador
"['16 299', '13 176', '11 025b']","['-8.9', '-9.1', '-5.6b']","['17 272.0', '11 274.9', '8 130.4b']","['1.1', '1.9', '2.5b']","['74.3', '59', '50.6b']","['24.6', '39.1', '46.9b']",,,,,,"['100g', '119', '130e']","['91', '101', '109b']",,,,,Equatorial Guinea
"['1 590', '2 013', '1 982b']","['10.9', '-20.6', '3.8b']","['501.4', '602.2', '566.7b']","['19.1', '17.2', '17.3b']","['30.9', '31.2', '31.3b']","['50', '51.6', '51.4b']",,,,,,,"['96', '99', '102b']",,,,,Eritrea
"['19 694', '23 049', '31 471b']","['2.7', '1.8', '5b']","['14 783.9', '17 523.3', '23 740.2b']",,,,,,,"['16.7', '6.2', '5.4c']","['55.0 /       67.1', '56.0 /       69.5', '56.8 /       70.7c']","['100', '111', '122c']","['79', '111', '107b']",,,,"['340', '403', '-244c']",Estonia
"['4 439', '4 073', '4 594b']","['3.8', '2.3', '1.1b']","['4 168.5', '3 689.5', '4 001.6b']",,,,,,,,,"['100', '135', '167b']","['96', '101', '101b']","['1 557j', '1 820', '2 248j,e']","['1 710j', '1 508', '2 076j,e']","['-153j', '312', '172j,e']","['-388', '533', '255e']",Eswatini
"['26 311', '63 079', '92 750b']","['12.6', '10.4', '8.3b']","['300.2', '625.6', '827.5b']","['45.3', '38.8', '35.5b']","['10.4', '17.5', '25.9b']","['44.3', '43.7', '38.6b']",,,,,,,"['82', '101', '108b']","['2 330', '2 024', '2 265d,c']","['8 602', '17 686', '4 509d,c']","['- 6 272', '- 15 662', '- 2 244d,c']","['-635', '- 7 567', '- 2 719c']",Ethiopia
,,,,,,,,,,,,,,,,,Falkland Islands (Malvinas)
,,,,,,,,,,,,"['95', '100', '96b']",,,,"['144', '194m', '...']",Faroe Islands
"['3 141', '4 682', '5 504b']","['3', '4.7', '0.5b']","['3 652.5', '5 390.6', '6 185.1b']",,,,,,,,,,"['89', '109', '114b']","['841', '895', '771i,d']","['1 808', '2 081', '1 901i,d']","['-967', '- 1 186', '- 1 130i,d']","['-149', '-164', '-602d']",Fiji
"['249 181', '234 440', '269 296d']","['3.2', '0.5', '1.1d']","['46 438.9', '42 772.3', '48 678.4d']",,,,,,,,,"['100k', '109k', '113e']","['94', '100', '102d']","['70 117', '59 682', '65 600e']","['68 767', '60 174', '67 878e']","['1 349', '-492', '- 2 279e']","['2 792', '- 2 209', '2 342e']",Finland
,,,,,,,,,,,,"['98', '102', '98b']","['511 651', '493 941', '488 562c']","['599 172', '563 398', '582 775c']","['- 87 520', '- 69 457', '- 94 213c']","['- 22 031', '- 9 130', '- 48 911c']",France
,,,,,,,,,,,,,,,,,French Guiana
"['6 081', '5 324', '6 023c']","['-2.5', '1.8', '2.4c']","['22 820.8', '19 491.9', '21 566.9c']","['2.5', '3.6', '3.6c']","['12.3', '12', '11.9c']","['85.2', '84.4', '84.5c']","['8.7', '7.7', '6.8g']","['16.4', '15.1', '14.6g']",,"['14.3', '13.8', '11.9g']","['48.6 /       64.2', '48.6 /       62.4', '47.4 /       60.1g']","['...', '122i,j', '...']","['98', '102', '97c']","['153', '130', '71h,g']","['1 726', '1 527', '1 701h,g']","['- 1 573', '- 1 397', '- 1 630h,g']","['-18', '291', '412k']",French Polynesia
"['14 359', '14 372', '16 888b']","['7.1', '3.9', '3.6b']","['8 840.8', '7 379.2', '7 773.2b']","['4.2', '4.7', '5.5b']","['59.6', '51.9', '49.1b']","['36.2', '43.4', '45.4b']",,,"['52.6', '54.5', '56.9d']",,,,"['87', '100', '107b']",,,,"['2 453', '141', '...']",Gabon
"['1 543', '1 378', '1 823b']","['5.9', '4.1', '6.1b']","['860.6', '660.7', '776.4b']",,,,,,,,,,"['139', '107', '92b']","['68', '83', '26d']","['284', '391', '553d']","['-215', '-308', '-527d']","['17', '-99', '-79k']",Gambia
